Song Title,Streams,Daily
Dynamite,"2,130,562,214","475,419"
* My Universe,"1,512,971,721","365,387"
Butter,"1,391,090,445","248,640"
Boy With Luv (feat. Halsey),"1,309,755,727","292,279"
* Left and Right (Feat. Jung Kook of BTS),"1,119,412,623","233,696"
FAKE LOVE,"1,012,413,335","287,749"
Life Goes On,"842,578,797","475,797"
Permission to Dance,"762,182,208","180,617"
DNA,"722,721,582","209,049"
Euphoria,"662,616,804","144,164"
Blood Sweat & Tears,"646,125,489","169,298"
Spring Day,"594,136,283","159,323"
Run BTS,"550,887,877","207,567"
IDOL,"530,099,192","148,129"
Black Swan,"528,120,466","142,573"
ON,"516,679,582","125,299"
* Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"496,750,748","145,715"
Filter,"490,754,294","77,195"
I NEED U,"436,586,079","145,963"
Pied Piper,"407,354,785","104,377"
dimple,"401,233,524","103,312"
Go Go,"398,606,351","81,332"
The Truth Untold (feat. Steve Aoki),"396,667,240","69,821"
Magic Shop,"396,076,151","93,483"
Burning Up (FIRE),"393,132,606","116,523"
Dope,"390,747,484","103,650"
Airplane pt.2,"386,038,366","88,898"
Yet To Come,"382,703,801","54,103"
Mikrokosmos,"366,220,111","77,475"
Save Me,"363,491,146","99,747"
MIC Drop (Steve Aoki Remix) (Full Length Edition),"363,343,486","92,037"
HOME,"361,455,988","78,222"
Anpanman,"360,847,429","80,400"
* Who,"355,812,456","68,988"
Make It Right,"342,765,383","70,993"
RUN,"333,877,025","100,292"
Intro: Singularity,"332,096,785","48,961"
Not Today,"318,712,226","65,349"
Best Of Me,"317,636,600","74,279"
Epiphany,"311,830,569","71,704"
Serendipity (Full Length Edition),"311,110,056","61,841"
Take Two,"309,111,288","61,726"
Silver Spoon,"307,350,651","93,846"
Butterfly,"307,276,675","91,065"
Dionysus,"298,580,565","59,039"
* Savage Love (Laxed – Siren Beat) [BTS Remix],"296,086,223","44,616"
* Waste It On Me (feat. BTS),"295,995,660","33,815"
Boy In Luv,"291,828,272","103,530"
* Bad Decisions (with BTS & Snoop Dogg),"289,640,920","42,397"
Make It Right (feat. Lauv),"285,890,610","33,757"
My Time,"285,180,689","44,849"
Blue & Grey,"281,893,589","35,398"
Film out,"279,551,108","46,462"
00:00 (Zero O'Clock),"278,771,406","67,625"
MIC Drop,"269,137,753","69,172"
Lie,"268,638,524","51,543"
Stay Gold,"262,808,429","32,232"
Trivia 轉 : Seesaw,"260,755,118","51,036"
Just One Day,"259,321,525","104,814"
Love Maze,"259,133,924","58,672"
Friends,"255,919,662","36,057"
Jamais Vu,"255,364,375","37,689"
We are Bulletproof : the Eternal,"254,938,242","55,115"
Telepathy,"246,928,140","35,928"
Moon,"240,201,727","50,187"
Lights,"228,737,770","33,726"
No More Dream,"218,292,262","80,329"
Danger,"217,911,617","67,774"
Louder than bombs,"216,493,505","39,521"
Like,"214,651,123","64,187"
I'm Fine,"213,933,991","41,528"
Answer : Love Myself,"211,235,935","39,968"
So What,"208,729,020","43,882"
MIC Drop (feat. Desiigner) [Steve Aoki Remix],"208,235,757","10,228"
UGH!,"206,246,513","31,372"
Inner Child,"205,246,704","28,795"
Stay,"205,221,778","26,453"
Your eyes tell,"204,492,225","30,065"
Dis-ease,"201,853,230","25,370"
21st Century Girl,"197,194,286","35,406"
BTS Cypher 4,"197,052,236","36,685"
House of Cards (Full Length Edition),"194,147,287","91,000"
IDOL,"194,125,768","16,542"
Stigma,"193,760,915","34,626"
Fly To My Room,"193,534,125","20,849"
Intro : Persona,"192,719,424","23,938"
Outro: Tear,"184,689,389","27,684"
* Girl Of My Dreams (with SUGA of BTS),"172,854,195","37,617"
Butter (Megan Thee Stallion Remix),"172,238,680","14,662"
Let Go,"170,113,758","25,575"
Paradise,"168,407,668","29,355"
Begin,"167,549,657","28,572"
